category,dest_rel,rel,filename,width,height,viewBox,size,colors
screen-ipo,reference-svg/screen-ipo/093_Mobile_IPO_Detail_page_1.svg,Choice FinX Design (6)/Mobile IPO Detail page 1.svg,Mobile IPO Detail page 1.svg,393,48,0 0 393 48,758167,0
screens-misc,reference-svg/screens-misc/094_image_19.svg,Choice FinX Design (6)/image 19.svg,image 19.svg,524,1279,0 0 524 1279,47288,0
screen-funds-bank,reference-svg/screen-funds-bank/095_funds.svg,Choice FinX Design (6)/funds.svg,funds.svg,393,852,0 0 393 852,212358,7
screen-funds-bank,reference-svg/screen-funds-bank/096_funds-1.svg,Choice FinX Design (6)/funds-1.svg,funds-1.svg,393,852,0 0 393 852,318178,9
screen-funds-bank,reference-svg/screen-funds-bank/097_Bank_Details.svg,Choice FinX Design (6)/Bank Details.svg,Bank Details.svg,393,863,0 0 393 863,238561,6
screen-reports,reference-svg/screen-reports/098_Reports_statements.svg,Choice FinX Design (6)/Reports & statements.svg,Reports & statements.svg,393,863,0 0 393 863,68003,10
screen-reports,reference-svg/screen-reports/099_Reports_statements-1.svg,Choice FinX Design (6)/Reports & statements-1.svg,Reports & statements-1.svg,393,1089,0 0 393 1089,299211,10
screen-more-profile,reference-svg/screen-more-profile/100_Others.svg,Choice FinX Design (6)/Others.svg,Others.svg,393,863,0 0 393 863,58540,5
screen-more-profile,reference-svg/screen-more-profile/101_Support_Feedback.svg,Choice FinX Design (6)/Support & Feedback.svg,Support & Feedback.svg,393,863,0 0 393 863,48186,5
screen-more-profile,reference-svg/screen-more-profile/102_Support_Feedback-1.svg,Choice FinX Design (6)/Support & Feedback-1.svg,Support & Feedback-1.svg,393,863,0 0 393 863,130297,6
screens-misc,reference-svg/screens-misc/103_Screenshot_20250404_162633_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250404_162633_Choice 1.svg,Screenshot_20250404_162633_Choice 1.svg,388,863,0 0 388 863,58906,0
screen-reports,reference-svg/screen-reports/104_Reports_statements-2.svg,Choice FinX Design (6)/Reports & statements-2.svg,Reports & statements-2.svg,393,852,0 0 393 852,156807,8
screen-funds-bank,reference-svg/screen-funds-bank/105_Bank_Details-1.svg,Choice FinX Design (6)/Bank Details-1.svg,Bank Details-1.svg,393,863,0 0 393 863,855202,7
screens-misc,reference-svg/screens-misc/106_Screenshot_20250403_111456_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111456_Choice 1.svg,Screenshot_20250403_111456_Choice 1.svg,720,1600,0 0 720 1600,100057,0
screens-misc,reference-svg/screens-misc/107_Screenshot_20250403_111452_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111452_Choice 1.svg,Screenshot_20250403_111452_Choice 1.svg,720,1600,0 0 720 1600,90605,0
screens-misc,reference-svg/screens-misc/108_Screenshot_20250403_111535_Choice_1.svg,Choice FinX Design (6)/Screenshot_20250403_111535_Choice 1.svg,Screenshot_20250403_111535_Choice 1.svg,720,1600,0 0 720 1600,48585,0
screen-reports,reference-svg/screen-reports/109_Transaction_history.svg,Choice FinX Design (6)/Transaction history.svg,Transaction history.svg,393,852,0 0 393 852,360820,7
screen-funds-bank,reference-svg/screen-funds-bank/110_withdraw.svg,Choice FinX Design (6)/withdraw.svg,withdraw.svg,393,852,0 0 393 852,221225,9
screen-funds-bank,reference-svg/screen-funds-bank/111_withdraw-1.svg,Choice FinX Design (6)/withdraw-1.svg,withdraw-1.svg,393,852,0 0 393 852,241657,10
